Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
hay al matar,nador,Automatique,Diesel,volkswagen,golf 7,5,Dédouanée,True,6,Excellent,5.10594547390058,227.41282122189637,10
centre ville,mohammedia,Manuelle,Diesel,hyundai,accent,5,Dédouanée,False,6,Excellent,3.871201010907891,272.2756124696199,21
Others,nador,Manuelle,Essence,chevrolet,spark,5,WW au Maroc,True,5,Très bon,3.6635616461296463,228.16284948249103,14
ain amiyer,fès,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,6,Excellent,4.941642422609304,227.0387791504571,10
centre ville,marrakech,Automatique,Diesel,audi,a3,5,Dédouanée,True,8,Neuf,5.438079308923196,229.35033983064366,10
centre,fès,Manuelle,Diesel,mercedes-benz,Others,5,Dédouanée,True,9,Excellent,4.406719247264253,275.57794196875676,22
m'hamid,marrakech,Manuelle,Diesel,renault,fluence,5,WW au Maroc,True,6,Très bon,4.499809670330265,175.10888142765683,15
centre ville,tétouan,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,True,6,Excellent,5.056245805348308,20.96447807547258,3
bouskoura centre,bouskoura,Automatique,Diesel,mercedes-benz,classe e,5,WW au Maroc,False,8,Excellent,5.770459332920481,156.16761316767975,7
centre,fès,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Excellent,4.653960350157523,141.99872897664594,9
Others,casablanca,Automatique,Diesel,volkswagen,golf 7,5,WW au Maroc,True,8,Excellent,5.407171771460119,98.46990689039615,6
hay el fath,rabat,Manuelle,Diesel,fiat,palio,5,Dédouanée,True,6,Excellent,3.367295829986474,1.9961866159062711,23
hay al kamal,settat,Automatique,Hybride,toyota,c-hr,5,Importée neuve,False,6,Excellent,5.19295685089021,102.13528926635738,7
wislane,meknès,Manuelle,Diesel,mercedes-benz,220,5,Dédouanée,True,8,Très bon,4.844187086458591,279.2724456412993,16
autre secteur,safi,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,5,Excellent,4.8283137373023015,139.6537159918417,8
ain atig,temara,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Très bon,4.6913478822291435,182.2645482600187,7
toute la ville,ksar el-kebir,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,6,Excellent,5.68697535633982,104.38556330710438,5
al wifaq,agadir,Manuelle,Diesel,ford,fiesta,5,WW au Maroc,True,6,Excellent,4.584967478670572,188.60208066316403,9
ain sebaa,casablanca,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,True,12,Excellent,5.393627546352362,167.07808763231392,6
toute la ville,chichaoua,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,4.174387269895637,226.62211863797262,19
bir rami,kénitra,Automatique,Diesel,audi,a3,5,WW au Maroc,True,6,Très bon,5.2574953720277815,176.4262823589906,10
agdal,rabat,Automatique,Diesel,bmw,série 5,5,WW au Maroc,True,8,Très bon,5.176149732573829,164.6359204361076,11
toute la ville,errachidia,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,7,Très bon,4.553876891600541,132.73030878576034,17
Others,fès,Automatique,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,4.0943445622221,154.78317180727842,17
toute la ville,sefrou,Manuelle,Diesel,opel,crossland,5,WW au Maroc,False,6,Excellent,5.298317366548036,17.592185651851594,4
sidi bernoussi,casablanca,Manuelle,Diesel,renault,symbol,5,WW au Maroc,True,6,Bon,4.174387269895637,220.6945600014558,14
hassan,rabat,Manuelle,Essence,opel,astra,5,WW au Maroc,True,8,Bon,4.0943445622221,162.35741921155204,18
centre ville,oujda,Automatique,Diesel,mercedes-benz,220,5,Dédouanée,True,8,Bon,4.219507705176107,32.617041972336374,3
hay riad,rabat,Manuelle,Diesel,volkswagen,passat,5,WW au Maroc,False,8,Excellent,4.867534450455582,187.73712643146516,13
toute la ville,tifelt,Manuelle,Essence,renault,clio,3,Dédouanée,False,8,Très bon,3.6109179126442243,30.154530096190477,23
Others,salé,Manuelle,Essence,skoda,fabia,5,WW au Maroc,True,8,Très bon,3.5553480614894135,50.07151177828017,25
centre,kénitra,Manuelle,Diesel,volkswagen,passat,5,WW au Maroc,True,8,Très bon,4.867534450455582,225.32385678090475,13
route d'immouzere,fès,Manuelle,Essence,nissan,micra,5,WW au Maroc,True,7,Très bon,4.060443010546419,130.5138927522755,12
hay el fath,rabat,Manuelle,Diesel,hyundai,ix35,5,WW au Maroc,True,7,Très bon,4.882801922586371,193.28609313775556,12
andalous,oujda,Automatique,Diesel,jeep,grand cherokee,5,WW au Maroc,False,12,Excellent,5.247024072160486,226.92397870289108,9
autre secteur,el jadida,Manuelle,Diesel,citroen,berlingo,3,Dédouanée,True,6,Très bon,4.465908118654584,229.00878629067554,12
maamora,kénitra,Manuelle,Diesel,ford,c-max,5,WW au Maroc,True,6,Très bon,4.770684624465665,224.04002803981376,11
Others,tanger,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,6,Excellent,4.976733742420574,48.769501157049966,8
guéliz,marrakech,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,True,8,Très bon,5.652489180268651,117.88254692296236,7
Others,salé,Manuelle,Essence,Others,Others,5,WW au Maroc,True,7,Bon,3.6635616461296463,4.9519434799796445,16
centre ville,temara,Manuelle,Diesel,toyota,corolla verso,5,WW au Maroc,True,8,Bon,3.871201010907891,271.11268577694665,20
toute la ville,sidi bennour,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,6,Excellent,4.962844630259907,61.16577603062122,5
el qaria,salé,Manuelle,Diesel,Others,Others,5,Dédouanée,False,6,Excellent,4.74493212836325,144.54940177783564,8
toute la ville,laâyoune,Manuelle,Diesel,opel,grandland,5,WW au Maroc,False,6,Excellent,5.438079308923196,79.41333324255224,5
al qods,mohammedia,Manuelle,Diesel,volkswagen,Others,5,Dédouanée,True,8,Bon,3.4011973816621555,271.33613881184425,20
sbata,casablanca,Automatique,Diesel,hyundai,h-100,5,WW au Maroc,False,10,Excellent,4.990432586778736,180.64611507471133,10
toute la ville,Others,Manuelle,Diesel,citroen,Others,3,Importée neuve,False,9,Très bon,5.135798437050262,118.09779217026374,9
toute la ville,khemisset,Manuelle,Diesel,renault,megane,5,Dédouanée,True,7,Bon,3.5553480614894135,140.79016196283362,23
Others,marrakech,Manuelle,Diesel,kia,rio,5,WW au Maroc,True,6,Excellent,4.700480365792417,154.82075880690218,10
autre secteur,nador,Manuelle,Diesel,nissan,micra,5,Dédouanée,False,6,Excellent,4.919980925828125,155.51212697487665,7
autre secteur,casablanca,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,True,6,Excellent,5.0689042022202315,163.68642998121624,9
sidi bernoussi,casablanca,Manuelle,Diesel,citroen,c3,5,WW au Maroc,True,6,Très bon,4.276666119016055,130.8288820384497,13
toute la ville,khénifra,Manuelle,Essence,fiat,Others,5,WW au Maroc,False,7,Très bon,3.6375861597263857,276.2560284216914,19
toute la ville,martil,Manuelle,Essence,dacia,dokker,5,WW au Maroc,True,6,Très bon,4.624972813284271,46.49970103107238,7
ain sebaa,casablanca,Manuelle,Diesel,seat,leon,5,Dédouanée,False,9,Excellent,4.382026634673881,220.74579817177647,15
Others,benslimane,Manuelle,Essence,fiat,punto,3,Dédouanée,True,6,Excellent,3.4011973816621555,159.51975949516125,31
ain sebaa,casablanca,Automatique,Diesel,volkswagen,tiguan,3,Dédouanée,False,8,Excellent,5.501258210544727,144.03516486630303,8
fès médina,fès,Manuelle,Diesel,peugeot,partner,5,WW au Maroc,True,7,Très bon,4.219507705176107,27.391080532183256,15
el haddada,kénitra,Manuelle,Diesel,peugeot,407,5,WW au Maroc,True,8,Excellent,3.912023005428146,221.64141609473782,20
Others,fès,Manuelle,Diesel,renault,kangoo,5,Dédouanée,False,6,Correct,3.7376696182833684,42.34521559054865,25
anfa,casablanca,Automatique,Diesel,jeep,grand cherokee,5,WW au Maroc,False,12,Excellent,5.043425116919247,270.5559502790321,10
Others,benslimane,Manuelle,Diesel,peugeot,tepee,5,Dédouanée,False,6,Excellent,4.897839799950911,140.27967796885787,12
ain sebaa,casablanca,Automatique,Diesel,volkswagen,tiguan,5,WW au Maroc,False,8,Excellent,5.501258210544727,149.2271271979185,8
oulfa,casablanca,Automatique,Diesel,renault,megane,5,WW au Maroc,True,6,Excellent,5.247024072160486,115.14456601504455,6
m'hamid,marrakech,Manuelle,Diesel,citroen,c3,5,WW au Maroc,True,6,Excellent,3.8501476017100584,31.56227395393165,22
zouagha,fès,Manuelle,Diesel,fiat,doblo,5,WW au Maroc,True,6,Excellent,4.584967478670572,77.12789658342186,7
agdal,marrakech,Manuelle,Essence,hyundai,i10,5,WW au Maroc,True,6,Excellent,4.553876891600541,67.52095746997502,8
Others,meknès,Manuelle,Diesel,ford,c-max,5,WW au Maroc,True,7,Excellent,4.31748811353631,11.155093293196469,18
toute la ville,berkane,Manuelle,Essence,fiat,siena,5,WW au Maroc,False,7,Très bon,3.6888794541139363,225.35555301516405,21
anfa,casablanca,Manuelle,Diesel,honda,cr-v,5,Dédouanée,False,6,Excellent,5.043425116919247,32.45201494320557,11
toute la ville,sidi kacem,Manuelle,Diesel,volkswagen,touran,5,Dédouanée,True,8,Très bon,4.844187086458591,271.84044669858525,15
toute la ville,khemisset,Manuelle,Diesel,peugeot,405,5,WW au Maroc,False,7,Correct,3.4011973816621555,115.07963118159606,34
bir rami,kénitra,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,7,Bon,3.828641396489095,6.035055652104493,1
2 mars,casablanca,Manuelle,Diesel,volkswagen,jetta,5,WW au Maroc,True,6,Très bon,5.003946305945459,190.92743938328167,9
centre ville,tanger,Manuelle,Diesel,mercedes-benz,classe c,5,Dédouanée,False,9,Excellent,4.90527477843843,225.40981024877507,17
oued fès,fès,Manuelle,Diesel,citroen,c-elysée,5,WW au Maroc,True,6,Excellent,4.574710978503383,198.54544851762438,9
hay karima,salé,Manuelle,Diesel,volkswagen,golf 4,5,Dédouanée,False,8,Très bon,4.442651256490317,33.988700305049804,25
Others,temara,Manuelle,Diesel,ford,fiesta,5,WW au Maroc,True,6,Très bon,4.543294782270004,145.52282047970374,12
autre secteur,agadir,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,True,8,Bon,4.499809670330265,225.760279234863,17
almaz,casablanca,Manuelle,Diesel,renault,scenic,5,WW au Maroc,False,6,Très bon,4.8283137373023015,134.60768819956868,13
hay salam,agadir,Manuelle,Diesel,fiat,punto,5,WW au Maroc,True,6,Très bon,4.189654742026425,221.18375311267022,15
bettana,salé,Manuelle,Diesel,volkswagen,golf 4,5,Dédouanée,False,8,Très bon,4.442651256490317,36.96141312314576,25
toute la ville,Others,Automatique,Diesel,dacia,logan,5,WW au Maroc,False,6,Très bon,4.0943445622221,141.45023969295994,13
autre secteur,fès,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,7,Excellent,4.31748811353631,222.37470867555393,17
souissi,rabat,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,6,Excellent,4.605170185988092,180.16140737276478,15
jawhara,el jadida,Manuelle,Diesel,dacia,duster,5,WW au Maroc,False,6,Excellent,5.093750200806762,86.0781159346775,6
sidi othmane,casablanca,Manuelle,Diesel,toyota,rav 4,5,WW au Maroc,True,9,Excellent,4.31748811353631,192.22729536590893,15
agdal,fès,Automatique,Diesel,volvo,Others,5,WW au Maroc,True,10,Bon,4.442651256490317,229.773457979939,15
autre secteur,benslimane,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.74493212836325,120.89580337561966,7
Others,settat,Manuelle,Diesel,ford,c-max,5,WW au Maroc,True,6,Excellent,4.770684624465665,194.03712907763844,12
harhoura,temara,Manuelle,Essence,alfa romeo,Others,3,Importée neuve,True,8,Très bon,4.007333185232471,228.32108103053156,16
Others,agadir,Manuelle,Essence,citroen,c5,5,Dédouanée,True,10,Correct,3.6888794541139363,197.64200157336649,23
toute la ville,Others,Manuelle,Diesel,honda,accord,5,WW au Maroc,True,8,Très bon,3.5553480614894135,272.81338978519824,27
bir rami,kénitra,Manuelle,Diesel,citroen,c4,5,WW au Maroc,False,6,Bon,4.653960350157523,274.04297309405325,9
ain sebaa,casablanca,Automatique,Diesel,chevrolet,Others,5,WW au Maroc,True,8,Excellent,4.653960350157523,163.4584911704668,10
agdal,oujda,Manuelle,Essence,kia,picanto,5,WW au Maroc,False,6,Très bon,4.007333185232471,226.19823501146186,17
said hajji,salé,Automatique,Diesel,mercedes-benz,classe ml,5,Dédouanée,True,12,Très bon,4.941635279726651,195.6571204573557,15
tassila,agadir,Automatique,Diesel,dacia,duster,5,WW au Maroc,True,6,Excellent,5.19295685089021,108.85071604129598,4
toute la ville,larache,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,False,12,Très bon,4.248495242049359,222.6100571986231,18
hay al matar,nador,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Excellent,5.075173815233827,89.41239330139851,3
hay salam,salé,Manuelle,Diesel,fiat,palio,5,WW au Maroc,True,7,Très bon,3.5553480614894135,10.554159589155766,25
centre ville,temara,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,False,8,Très bon,5.272999558563747,278.19460975952387,13
maarif,casablanca,Manuelle,Essence,peugeot,307,5,WW au Maroc,False,6,Bon,4.0943445622221,96.90774766460078,22
guéliz,marrakech,Manuelle,Diesel,ford,focus,5,Importée neuve,True,7,Excellent,4.406719247264253,225.24544614176608,17
2 mars,casablanca,Manuelle,Diesel,opel,corsa,5,WW au Maroc,True,6,Très bon,4.919980925828125,52.87690956317678,4
toute la ville,khouribga,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,True,9,Excellent,5.393627546352362,107.95270208808496,10
daoudiate,marrakech,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Très bon,4.700480365792417,193.81974489341349,7
Others,agadir,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,False,11,Excellent,5.043425116919247,274.4177342011498,9
Others,el jadida,Manuelle,Diesel,peugeot,308,5,WW au Maroc,True,6,Bon,4.31748811353631,6.200861548330989,16
autre secteur,tanger,Manuelle,Essence,hyundai,i10,5,WW au Maroc,False,6,Excellent,4.919980925828125,7.8321990094153655,2
toute la ville,larache,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,True,7,Excellent,4.418840607796598,182.2199750233983,15
agadir oufella,agadir,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,True,8,Excellent,4.060443010546419,192.59131446196974,20
autre secteur,rabat,Automatique,Diesel,audi,a3,5,WW au Maroc,True,6,Très bon,5.2832037287379885,150.44775486889733,10
2 mars,casablanca,Manuelle,Diesel,peugeot,3008,5,WW au Maroc,False,6,Très bon,5.278114659230517,100.89118744340948,7
marjane 2,meknès,Manuelle,Diesel,nissan,x-trail,5,WW au Maroc,False,9,Très bon,4.248495242049359,274.8548913034217,16
toute la ville,khouribga,Manuelle,Diesel,volkswagen,golf 7,5,WW au Maroc,True,8,Excellent,5.337538079701318,96.87685524725536,8
toute la ville,ain harrouda,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Excellent,5.204006687076795,1.7865600218918511,1
autre secteur,tanger,Manuelle,Essence,volkswagen,Others,5,WW au Maroc,True,4,Excellent,3.8918202981106265,137.34489125256752,18
ain sebaa,casablanca,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,True,9,Très bon,5.062595033026967,177.2641551257311,10
toute la ville,asilah,Manuelle,Diesel,citroen,c5,5,WW au Maroc,False,6,Bon,4.060443010546419,7.3181183307786295,18
toute la ville,Others,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,True,6,Bon,4.248495242049359,150.89477768463382,14
amicales,agadir,Manuelle,Diesel,volkswagen,tiguan,5,Dédouanée,False,8,Excellent,5.220355825078324,155.41278660609413,11
toute la ville,khouribga,Automatique,Diesel,ford,kuga,5,WW au Maroc,True,8,Très bon,5.272999558563747,108.47422025209606,7
autre secteur,el jadida,Manuelle,Diesel,peugeot,Others,3,WW au Maroc,False,8,Excellent,5.272999558563747,72.71002040792325,4
Others,taroudant,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,4,Très bon,4.442651256490317,28.12539842765258,11
autre secteur,tétouan,Manuelle,Diesel,citroen,xsara,5,WW au Maroc,True,6,Excellent,3.5553480614894135,195.0699508180343,21
mesnana,tanger,Automatique,Diesel,audi,a4,5,Dédouanée,True,12,Excellent,4.564348191467836,325.5053806751221,17
Others,tétouan,Manuelle,Diesel,seat,cordoba,5,Dédouanée,True,8,Bon,3.4965075614664802,25.60840493947002,28
toute la ville,asilah,Manuelle,Diesel,citroen,c5,5,WW au Maroc,False,6,Bon,4.060443010546419,2.2814409779545755,18
Others,rabat,Automatique,Diesel,land rover,range rover,5,WW au Maroc,False,12,Excellent,4.867534450455582,222.1407865954076,14
beni makada lakdima,tanger,Manuelle,Diesel,peugeot,207,5,WW au Maroc,True,6,Très bon,4.356708826689592,173.5905774747299,17
guéliz,marrakech,Manuelle,Diesel,mercedes-benz,250,5,Dédouanée,True,10,Très bon,3.8918202981106265,47.0952168938079,26
toute la ville,khouribga,Manuelle,Diesel,citroen,xsara,5,WW au Maroc,False,7,Très bon,3.6635616461296463,427.54386570726933,22
Others,tanger,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,7,Excellent,5.075173815233827,61.565258112675785,2
centre,fès,Manuelle,Diesel,ford,c-max,5,WW au Maroc,True,6,Excellent,4.762173934797756,179.3773499004233,13
centre ville,mohammedia,Automatique,Diesel,volkswagen,golf 7,5,WW au Maroc,False,8,Excellent,5.19295685089021,142.18076616128033,8
Others,rabat,Manuelle,Essence,Others,Others,3,WW au Maroc,False,9,Excellent,5.247024072160486,1.4460080683244692,1
bir rami est,kénitra,Manuelle,Essence,fiat,doblo,5,WW au Maroc,False,6,Bon,4.060443010546419,22.121463037585848,12
autre secteur,el jadida,Automatique,Diesel,hyundai,i30,5,Dédouanée,True,6,Excellent,4.941642422609304,154.34530807002403,9
toute la ville,settat,Manuelle,Diesel,volkswagen,golf 5,5,Dédouanée,False,8,Excellent,4.418840607796598,46.28551216918478,21
autre secteur,safi,Automatique,Diesel,hyundai,i40,5,WW au Maroc,False,7,Excellent,5.043425116919247,156.2777951689135,9
ahlane,tanger,Manuelle,Essence,fiat,palio,5,WW au Maroc,True,6,Très bon,3.4011973816621555,21.78069707579146,25
centre,kénitra,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,True,8,Très bon,4.532599493153256,274.41567922553327,16
hay hassani,casablanca,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,True,5,Bon,4.605170185988092,195.13052856605938,12
toute la ville,khénifra,Automatique,Diesel,audi,Others,5,Dédouanée,True,11,Excellent,5.393627546352362,195.94826432515475,14
toute la ville,khénifra,Manuelle,Essence,fiat,siena,5,WW au Maroc,False,7,Très bon,3.6375861597263857,273.4676486152106,19
abbadi,temara,Manuelle,Essence,daewoo,Others,3,Dédouanée,True,4,Bon,4.174387269895637,372.89115128217173,16
m'hamid,marrakech,Manuelle,Diesel,dacia,lodgy,5,WW au Maroc,True,6,Très bon,4.997212273764115,103.68995550523996,3
hay massira,marrakech,Manuelle,Essence,citroen,c-elysée,5,WW au Maroc,True,6,Bon,4.219507705176107,2.1590162170482166,12
toute la ville,berkane,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Correct,4.919980925828125,178.49709499905507,8
centre,tanger,Manuelle,Diesel,citroen,c4,5,WW au Maroc,False,6,Excellent,4.143134726391533,225.37758698970353,17
oulfa,casablanca,Automatique,Diesel,alfa romeo,159,5,WW au Maroc,True,10,Très bon,4.060443010546419,197.13241772998362,15
toute la ville,khénifra,Manuelle,Essence,fiat,siena,5,WW au Maroc,False,7,Très bon,3.6375861597263857,277.096535963144,19
el houda,agadir,Manuelle,Diesel,kia,Others,5,WW au Maroc,False,6,Excellent,5.3230099791384085,166.41420172158308,4
abattoirs,agadir,Manuelle,Diesel,dacia,duster,5,WW au Maroc,False,6,Excellent,5.123963979403259,60.32453817847768,5
ben souda,fès,Manuelle,Diesel,toyota,rav 4,5,WW au Maroc,True,8,Excellent,4.553876891600541,186.78435413973813,16
wislane,meknès,Manuelle,Essence,hyundai,atos,5,WW au Maroc,True,6,Très bon,3.7612001156935624,31.223612579097406,19
Others,casablanca,Automatique,Essence,bmw,série 3,5,Dédouanée,True,11,Très bon,4.143134726391533,226.2749186386565,18
al hadiqa,fès,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Très bon,5.117993812416755,3.8165737414981677,3
belvédère,casablanca,Manuelle,Diesel,hyundai,tucson,5,WW au Maroc,True,8,Excellent,4.418840607796598,177.36010971480746,15
tilila,agadir,Automatique,Diesel,volkswagen,jetta,5,WW au Maroc,True,6,Excellent,4.976733742420574,165.9986528412298,9
wislane,meknès,Manuelle,Essence,opel,corsa,5,Dédouanée,True,6,Très bon,3.5553480614894135,128.32128226436336,19
ain sebaa,casablanca,Manuelle,Diesel,ford,kuga,5,WW au Maroc,True,8,Excellent,4.934459544537968,175.15040944390225,11
Others,mohammedia,Manuelle,Diesel,fiat,doblo,5,WW au Maroc,True,6,Excellent,4.672828834461906,103.05711412144845,5
Others,tétouan,Manuelle,Essence,hyundai,atos,5,WW au Maroc,True,4,Très bon,3.7376696182833684,168.66291820754373,17
yacoub el mansour,rabat,Manuelle,Hybride,opel,astra,5,WW au Maroc,True,7,Bon,4.51085950651685,182.7825521106602,14
centre,kénitra,Manuelle,Diesel,jeep,compass,5,WW au Maroc,False,6,Très bon,5.3706380281276624,75.72677903223044,4
toute la ville,khénifra,Manuelle,Diesel,fiat,palio,5,WW au Maroc,True,7,Excellent,3.4011973816621555,229.69007062930416,25
al fida,casablanca,Manuelle,Diesel,bmw,série 1,5,WW au Maroc,True,8,Très bon,4.962844630259907,164.7143354874627,13
hay karima,salé,Manuelle,Diesel,peugeot,301,5,WW au Maroc,True,6,Très bon,4.634728988229636,130.05600565772414,7
sidi maarouf,casablanca,Automatique,Essence,nissan,Others,5,WW au Maroc,False,20,Bon,3.6888794541139363,229.6860138225485,16
centre ville,nador,Automatique,Essence,audi,a6,5,Dédouanée,True,10,Excellent,4.0943445622221,228.09218258735208,26
hay moulay rachid,casablanca,Manuelle,Essence,fiat,palio,5,WW au Maroc,False,6,Excellent,3.5263605246161616,6.804222385754095,25
toute la ville,béni mellal,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,True,8,Bon,5.262690188904886,165.43643898416957,8
al maghrib al arabi,kénitra,Manuelle,Diesel,renault,megane,5,Dédouanée,True,7,Très bon,4.532599493153256,16.133443879700735,13
toute la ville,fquih ben saleh,Automatique,Diesel,mercedes-benz,280,5,Dédouanée,True,12,Excellent,4.356708826689592,29.828237426751,19
sidi maarouf,casablanca,Manuelle,Diesel,seat,leon,3,WW au Maroc,False,8,Très bon,4.204692619390966,271.1004137148964,15
al hadiqa,fès,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Très bon,5.117993812416755,2.9656917559117284,3
2 mars,casablanca,Manuelle,Diesel,volkswagen,caddy,5,WW au Maroc,False,8,Très bon,5.10594547390058,229.91163807111866,7
al azhar,tétouan,Manuelle,Diesel,ford,kuga,5,WW au Maroc,False,8,Excellent,5.123963979403259,162.54392929692364,9
centre ville,tanger,Manuelle,Diesel,hyundai,i20,5,WW au Maroc,True,6,Excellent,4.882801922586371,104.70582750119716,4
toute la ville,al hoceima,Manuelle,Diesel,mitsubishi,l200,5,WW au Maroc,False,10,Excellent,5.1647859739235145,101.13009236943152,6
beauséjour,casablanca,Manuelle,Diesel,alfa romeo,giulietta,5,WW au Maroc,False,6,Excellent,4.844187086458591,177.43133825520164,9
Others,oujda,Manuelle,Diesel,seat,ibiza,5,WW au Maroc,True,6,Très bon,4.553876891600541,154.04391307430606,9
ain amiyer,fès,Automatique,Essence,fiat,500,3,WW au Maroc,True,6,Excellent,4.812184355372417,64.75497112806694,9
ain sebaa,casablanca,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,False,6,Excellent,5.541263545158426,126.67476884290853,6
Others,agadir,Manuelle,Essence,opel,corsa,5,WW au Maroc,False,7,Très bon,4.0943445622221,153.7286009808104,18
aïn chock,casablanca,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Excellent,4.700480365792417,172.96860103800907,6
toute la ville,azemmour,Manuelle,Diesel,dacia,duster,5,WW au Maroc,False,6,Très bon,5.236441962829949,78.27929264754088,4
route ain chkaf,fès,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.220355825078324,118.15823949421936,8
toute la ville,martil,Automatique,Essence,fiat,tipo,3,WW au Maroc,True,15,Excellent,4.787491742782046,126.27927755462433,5
achakar,tanger,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,False,4,Très bon,4.605170185988092,146.14799914822441,12
toute la ville,midelt,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,7,Bon,3.8066624897703196,429.85095146122217,22
toute la ville,tifelt,Automatique,Essence,Others,Others,3,WW au Maroc,False,10,Bon,5.1647859739235145,2.283649948094124,10
2 mars,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Bon,4.74493212836325,102.94218249775855,3
toute la ville,moulay bousselham,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,6,Très bon,4.584967478670572,45.519954162583076,4
achennad,tanger,Manuelle,Diesel,seat,leon,5,Importée neuve,True,8,Très bon,4.418840607796598,272.47508667718097,16
ben m'sick,casablanca,Automatique,Diesel,renault,clio,5,WW au Maroc,False,6,Excellent,4.77912349311153,86.71293598503789,11
hay riad,rabat,Manuelle,Essence,renault,megane,3,WW au Maroc,True,8,Excellent,3.8066624897703196,11.41812956201072,21
al hadiqa,fès,Manuelle,Diesel,renault,express,5,WW au Maroc,False,4,Très bon,5.117993812416755,10.141474628053988,3
autre secteur,casablanca,Automatique,Hybride,toyota,c-hr,5,WW au Maroc,False,10,Excellent,5.480638923341991,99.3886682440782,4
achennad,tanger,Manuelle,Diesel,seat,leon,5,WW au Maroc,True,8,Très bon,4.418840607796598,277.9630991048451,16
toute la ville,khouribga,Manuelle,Essence,honda,jazz,5,WW au Maroc,False,8,Très bon,4.127134385045092,190.5168351711972,17
toute la ville,khouribga,Automatique,Diesel,volkswagen,passat cc,5,Importée neuve,True,8,Neuf,4.941642422609304,273.9823937774035,11
centre,fès,Manuelle,Essence,ford,fiesta,5,WW au Maroc,False,7,Excellent,4.90527477843843,73.975896344874,5
toute la ville,chefchaouen,Manuelle,Essence,fiat,palio,5,WW au Maroc,True,6,Bon,3.2188758248682006,378.7677247395154,26
toute la ville,béni mellal,Automatique,Diesel,mercedes-benz,classe c,5,WW au Maroc,True,8,Très bon,5.521460917862246,155.8046630847816,9
massira,marrakech,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Excellent,4.762173934797756,158.0352437911616,8
hay lazaret,oujda,Manuelle,Essence,renault,clio,5,WW au Maroc,True,6,Bon,4.2626798770413155,17.549370536767366,11
afaq,marrakech,Manuelle,Diesel,mercedes-benz,220,5,Dédouanée,True,9,Excellent,4.007333185232471,373.61644375768117,30
alaouiyine,el jadida,Manuelle,Diesel,kia,sportage,5,WW au Maroc,False,6,Excellent,5.480638923341991,19.86230832604251,3
hay el fath,rabat,Manuelle,Diesel,volkswagen,tiguan,5,WW au Maroc,False,8,Excellent,5.560681631015528,172.35014358708997,6
Others,marrakech,Manuelle,Diesel,bmw,série 1,5,Dédouanée,True,8,Très bon,4.499809670330265,220.88498810187446,16
