Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
Others,oujda,Automatique,Diesel,volkswagen,tiguan,5,Dédouanée,False,8,Excellent,5.631211781821365,229.07782634895003,7
afaq,marrakech,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Très bon,4.499809670330265,119.26251071446194,9
khabazat,kénitra,Manuelle,Diesel,toyota,hilux,5,WW au Maroc,True,10,Excellent,5.541263545158426,136.57607236424832,7
el ismailia,kénitra,Manuelle,Diesel,toyota,corolla,5,WW au Maroc,True,5,Excellent,5.043425116919247,14.081621526908961,8
autre secteur,rabat,Manuelle,Diesel,jeep,compass,5,WW au Maroc,False,6,Excellent,5.41610040220442,72.50754466102231,4
route de tamansourt,marrakech,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.867534450455582,64.77325418664925,5
bournazil,casablanca,Manuelle,Diesel,peugeot,308,5,WW au Maroc,False,6,Excellent,4.859812404361672,184.58901820690275,6
Others,marrakech,Manuelle,Essence,ford,fiesta,5,WW au Maroc,True,7,Très bon,4.477336814478207,86.56460459439623,8
Others,agadir,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,False,12,Très bon,4.852014638797546,270.9545701461328,14
el houda,agadir,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,True,6,Excellent,4.418840607796598,198.79772687174508,14
Others,el jadida,Manuelle,Diesel,renault,laguna,5,Dédouanée,True,7,Très bon,4.060443010546419,271.4382949358802,20
bourgogne,casablanca,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.955827057601261,39.218251019714266,3
autre secteur,mohammedia,Automatique,Diesel,volkswagen,passat cc,5,WW au Maroc,True,8,Excellent,5.135798437050262,278.40261840943754,9
toute la ville,ben guerir,Manuelle,Essence,suzuki,Others,5,WW au Maroc,True,9,Bon,4.007333185232471,277.10239171580974,15
abdelmoumen,casablanca,Manuelle,Diesel,seat,ibiza,5,WW au Maroc,False,6,Excellent,5.241747015059643,57.59205548222856,4
toute la ville,berrechid,Manuelle,Diesel,honda,accord,3,WW au Maroc,False,9,Très bon,4.499809670330265,225.29344149814588,15
toute la ville,deroua,Manuelle,Diesel,volkswagen,tiguan,5,WW au Maroc,False,8,Très bon,5.1647859739235145,149.6592573396149,11
al qods,casablanca,Manuelle,Diesel,opel,corsa,5,WW au Maroc,False,6,Excellent,5.147494476813453,86.71061944417802,3
hay salam,salé,Manuelle,Diesel,ford,kuga,5,WW au Maroc,False,8,Excellent,5.19295685089021,193.17449114646678,7
sidi maarouf,casablanca,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Très bon,4.9344739331306915,105.30600178115364,3
bourgogne,casablanca,Automatique,Diesel,ds,Others,5,WW au Maroc,False,6,Excellent,5.697093486505405,68.9164634970448,2
aïn diab,casablanca,Automatique,Diesel,bmw,x5,5,WW au Maroc,False,8,Excellent,5.598421958998375,116.3252000273972,9
hamria,meknès,Manuelle,Essence,hyundai,i10,5,WW au Maroc,True,6,Très bon,4.276666119016055,139.02915952931153,10
2 mars,casablanca,Automatique,Diesel,dacia,duster,5,WW au Maroc,True,6,Excellent,4.955827057601261,275.7211153410293,7
2 mars,casablanca,Automatique,Diesel,hyundai,i30,5,WW au Maroc,True,6,Excellent,4.852030263919617,190.52359157478926,11
hay chmaou,salé,Manuelle,Diesel,mercedes-benz,classe b,5,Dédouanée,True,8,Bon,4.382026634673881,227.37998245336655,19
Others,salé,Manuelle,Essence,renault,Others,5,WW au Maroc,True,6,Très bon,5.043425116919247,15.685873327664979,9
centre ville,tanger,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Très bon,4.762173934797756,100.10465780716305,7
yacoub el mansour,rabat,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Excellent,4.8283137373023015,111.36590374638185,5
massira,rabat,Manuelle,Diesel,volkswagen,bora,5,WW au Maroc,False,8,Bon,4.248495242049359,372.2047008230135,23
autre secteur,meknès,Automatique,Diesel,porsche,cayenne,5,Dédouanée,True,12,Excellent,5.438079308923196,180.53200630961402,13
autre secteur,agadir,Manuelle,Diesel,opel,astra,5,Importée neuve,True,7,Très bon,4.356708826689592,198.89309327466512,16
aïn chock,casablanca,Automatique,Essence,suzuki,swift,5,Dédouanée,True,9,Très bon,4.31748811353631,158.02510631503554,16
californie,casablanca,Automatique,Essence,fiat,500,3,WW au Maroc,False,6,Excellent,4.867534450455582,91.36796900182367,5
mèdina,meknès,Manuelle,Diesel,toyota,rav 4,5,WW au Maroc,True,9,Très bon,4.584967478670572,228.1335913191,16
autre secteur,rabat,Manuelle,Diesel,citroen,berlingo,3,WW au Maroc,False,6,Bon,5.1647859739235145,121.22892634897003,3
toute la ville,mediouna,Manuelle,Diesel,peugeot,tepee,5,WW au Maroc,False,6,Bon,4.820281565605037,167.86780444945072,7
Others,marrakech,Manuelle,Diesel,renault,19,5,Dédouanée,True,7,Bon,3.6109179126442243,420.35111702888577,30
toute la ville,ouarzazate,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,6,Bon,4.174387269895637,65.74003214037913,12
tilila,agadir,Automatique,Diesel,audi,a3,5,Dédouanée,True,6,Très bon,5.043425116919247,226.42793588224345,12
