Age (annees),Modele,Marque,Boite de vitesses_Manuelle,Puissance fiscale,Type de carburant_Essence,Kilometrage lisse (en milliers km),Type de carburant_Diesel,Secteur,Origine_WW au Maroc,Ville,Origine_Dédouanée,Premiere main,Etat_Bon,Boite de vitesses_Automatique,Etat_Excellent,log_price (en milliers MAD)
-0.11503490707165027,berlingo,citroen,1,-0.6380111495352139,0,0.8141106215659886,1,safir,0,tétouan,0,1,1,0,0,4.8283137373023015
-0.5230295993484363,a5,audi,0,0.38858333602016065,0,0.508228753271032,1,casablanca finance city,1,casablanca,0,1,0,1,0,5.3706380281276624
2.7409279388658523,190,mercedes-benz,1,0.38858333602016065,0,-1.0344115114052523,1,Others,0,settat,1,1,0,0,0,4.219507705176107
-1.0670225223841512,giulietta,alfa romeo,0,-0.6380111495352139,0,-0.03938378714886178,1,ain sebaa,1,casablanca,0,0,0,1,1,5.14166355650266
0.29295978520513577,i10,hyundai,1,-0.6380111495352139,1,0.5170882319177715,0,hay zaytoun,1,agadir,0,1,1,0,0,4.158883083359672
0.8369527082408506,classe ml,mercedes-benz,0,2.4417723071309094,0,2.377647827358067,1,centre ville,1,agadir,0,0,0,1,0,4.442651256490317
-0.38703136858950765,classe e,mercedes-benz,0,0.9018805787978479,0,0.49962472049353235,1,hay riad,1,rabat,0,1,0,1,0,5.247024072160486
-1.611015445419866,logan,dacia,1,-0.6380111495352139,0,-1.3792530910648524,1,Others,1,marrakech,0,0,0,0,1,5.135798437050262
-1.0670225223841512,logan,dacia,1,-0.6380111495352139,0,0.8620173764283111,1,Others,1,essaouira,0,1,0,0,0,4.543294782270004
-1.0670225223841512,tiguan,volkswagen,0,0.38858333602016065,0,0.5599858073919652,1,al maghrib al arabi,1,kénitra,0,0,0,1,1,5.652489180268651
-1.3390189839020086,caddy,volkswagen,1,0.38858333602016065,0,-0.40964893289877513,1,bourgogne,1,casablanca,0,0,0,0,1,5.241747015059643
-0.659027830107365,logan,dacia,1,-0.6380111495352139,0,-0.2972130646251901,1,hay zaytoun,1,agadir,0,1,0,0,0,4.634728988229636
-1.611015445419866,logan,dacia,1,-0.6380111495352139,0,-1.4048609556570257,1,toute la ville,1,sefrou,0,0,0,0,0,5.147494476813453
0.5649562467229932,punto,fiat,1,-0.6380111495352139,0,0.2789175897973823,1,ouled oujih,1,kénitra,0,0,0,0,0,4.04305126783455
-0.25103313783057896,Others,citroen,1,-0.6380111495352139,0,-1.233842694615898,1,toute la ville,1,errachidia,0,1,0,0,1,4.31748811353631
-0.659027830107365,fabia,skoda,1,-0.6380111495352139,1,0.24110211990681388,0,Others,1,safi,0,1,0,0,1,4.48863636973214
-0.7950260608662937,elantra,hyundai,1,-0.6380111495352139,0,-0.31952080471607736,1,la ville haute,1,kénitra,0,1,0,0,0,5.030437921392435
-0.25103313783057896,208,peugeot,1,-0.6380111495352139,0,0.5137860119959954,1,hay zaytoun,1,agadir,0,1,1,0,0,4.553876891600541
-1.3390189839020086,500x,fiat,0,0.38858333602016065,1,-1.3883238857552118,0,centre ville,1,mohammedia,0,0,0,1,1,5.438079308923196
-1.4750172146609373,logan,dacia,1,-0.6380111495352139,1,-0.7911252303755097,0,hay zaytoun,1,agadir,0,0,0,0,0,4.74493212836325
-1.611015445419866,Others,Others,1,-1.151308392312901,0,-1.31918428730323,1,bourgogne,1,casablanca,0,0,0,0,1,4.624972813284271
-0.11503490707165027,classe a,mercedes-benz,0,-0.1247139067575266,0,0.5203797350013549,1,californie,0,casablanca,1,0,0,1,0,5.147494476813453
0.9729509389997792,corolla verso,toyota,1,0.38858333602016065,0,0.8068908865286314,1,sidi bernoussi,1,casablanca,0,1,0,0,0,4.174387269895637
0.29295978520513577,206,peugeot,1,-0.6380111495352139,1,0.5586605161549011,0,hay zaytoun,1,agadir,0,1,1,0,0,4.060443010546419
0.1569615544462071,Others,porsche,0,12.707717162684654,1,0.5292727250718916,0,toute la ville,1,taza,0,1,0,1,0,5.010635294096256
-1.0670225223841512,golf 7,volkswagen,0,0.38858333602016065,0,-0.2921834841068242,1,abattoirs,1,agadir,0,1,0,1,1,5.393627546352362
-1.7470136761787947,kangoo,renault,1,-0.1247139067575266,0,-1.2805388149541852,1,toute la ville,1,khouribga,0,0,0,0,1,4.251348311031766
